,gbifID,accessRights,bibliographicCitation,language,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
0,3408898318,,,en,CC_BY_4_0,2022-02-04T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,300b2cc7-e6c2-49ea-8fd2-5af1f277453d,KAG009434,14335,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1956-08-20,,233,233,1956,8,20,,,,,,,,,,,Asia;Japan;Kagoshima;Kimotsuki-gun Kimotsukicho,ASIA,,,,JP,Kagoshima,Kimotsuki-gun Kimotsukicho,,,,,,,,,,,,,10000.0,,,,,,,,,,,,assumed from the label information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7897005,,,,,,Euonymus alatus var. rotundatus (Makino) H.Hara,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Celastrales|Celastraceae|Euonymus|alatus|rotundatus,Plantae,Tracheophyta,Magnoliopsida,Celastrales,,Celastraceae,,,,Euonymus,Euonymus,,,alatus,rotundatus,,VARIETY,,オオコマユミ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:49.906Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,false,false,7897005,7897005,6,7707728,220,950,6715,3169115,,3169120,Euonymus alatus,Euonymus alatus var. rotundatus (Makino) H.Hara,Euonymus alatus rotundatus,,EML,2024-02-16T04:26:49.906Z,2024-02-16T04:25:24.047Z,false,,null,false,ASIA,ASIA,,,,,,,,,
1,4522302159,,,en,CC_BY_4_0,2023-11-13T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,813bfbfe-d7c5-4af4-99a4-b6bc75db2e43,KAG028095,6462,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1958-10-11,,284,284,1958,10,11,,,,,,,,,,,Asia;Honshu;Japan;Shizuoka;Kamo-gun Minamiizu-cho;near Minamizaki,ASIA,,,Honshu,JP,Shizuoka,Kamo-gun Minamiizu-cho,,near Minamizaki,伊豆南崎付近,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2955693,,,,,,Lespedeza buergeri Miq.,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lespedeza|buergeri,Plantae,Tracheophyta,Magnoliopsida,Fabales,,Fabaceae,,,,Lespedeza,Lespedeza,,,buergeri,,,SPECIES,,キハギ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:52.605Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,false,false,2955693,2955693,6,7707728,220,1370,5386,2955600,,2955693,Lespedeza buergeri,Lespedeza buergeri Miq.,Lespedeza buergeri,,EML,2024-02-16T04:26:52.605Z,2024-02-16T04:25:24.047Z,false,,null,false,ASIA,ASIA,,,,,,,,,NE
2,4054314710,,,en,CC_BY_4_0,2022-09-21T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,e4997617-f091-4179-94d6-121ebb3811bb,KAG013418,13504,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1949-08-23,,235,235,1949,8,23,,,,,,,,,,,Asia;Satsunan Islands;Kuchinoerabu Island;Japan;Kagoshima;Kumage-gun Yakushima-cho,ASIA,,Satsunan Islands,Kuchinoerabu Island,JP,Kagoshima,Kumage-gun Yakushima-cho,,,口永良部島,,,,,,,,30.456012,130.208972,10000.0,,,,,,,,,,,,assumed from the label information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5333021,,,,,,Castanopsis sieboldii var. sieboldii,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Castanopsis|sieboldii|sieboldii,Plantae,Tracheophyta,Magnoliopsida,Fagales,,Fagaceae,,,,Castanopsis,Castanopsis,,,sieboldii,sieboldii,,VARIETY,,スダジイ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:50.955Z,,,,,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,5333021,5333021,6,7707728,220,1354,4689,2881728,,5333015,Castanopsis sieboldii,Castanopsis sieboldii var. sieboldii,Castanopsis sieboldii sieboldii,,EML,2024-02-16T04:26:50.955Z,2024-02-16T04:25:24.047Z,false,,null,false,ASIA,ASIA,JPN,Japan,JPN.18_1,Kagoshima,JPN.18.43_1,Yakushima,,,
3,3408897551,,,en,CC_BY_4_0,2022-02-04T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,77e90d1f-16fa-4211-ab78-af3c20658f3e,KAG005617,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1987-03-13,,72,72,1987,3,13,,,,,,,,,,,Asia;Amami Islands;Amami-oshima Island;Japan;Kagoshima,ASIA,,Amami Islands,Amami-oshima Island,JP,Kagoshima,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,assumed from the label information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3589642,,,,,,Asarum lutchuense T.Itô,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Piperales|Aristolochiaceae|Asarum|lutchuense,Plantae,Tracheophyta,Magnoliopsida,Piperales,,Aristolochiaceae,,,,Asarum,Asarum,,,lutchuense,,,SPECIES,,オオバカンアオイ,,DOUBTFUL,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:52.259Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,false,false,3589642,3589642,6,7707728,220,404,3066,2873945,,3589642,Asarum lutchuense,Asarum lutchuense T.Itô,Asarum lutchuense,,EML,2024-02-16T04:26:52.259Z,2024-02-16T04:25:24.047Z,false,,null,false,ASIA,ASIA,,,,,,,,,EN
4,4054308547,,,en,CC_BY_4_0,2022-09-21T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,8fa25cfb-8270-488f-98bb-c35fa43ce88f,KAG017054,43864,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1965-10-29,,302,302,1965,10,29,,,,,,,,,,,Asia;Honsyu;Japan;Mie;Minamimuro-gun Mihama-cho;Atawa,ASIA,,,Honsyu,JP,Mie,Minamimuro-gun Mihama-cho,,Atawa,南牟婁郡御浜町阿田和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2701776,,,,,,Juncus papillosus Franch. & Sav.,,,,,,,Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|papillosus,Plantae,Tracheophyta,Liliopsida,Poales,,Juncaceae,,,,Juncus,Juncus,,,papillosus,,,SPECIES,,アオコウガイゼキショウ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:54.476Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,false,false,2701776,2701776,6,7707728,196,1369,5353,2701072,,2701776,Juncus papillosus,Juncus papillosus Franch. & Sav.,Juncus papillosus,,EML,2024-02-16T04:26:54.476Z,2024-02-16T04:25:24.047Z,false,,null,false,ASIA,ASIA,,,,,,,,,NE
5,3408894081,,,en,CC_BY_4_0,2022-02-04T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,ee012a34-e02e-4669-bff6-e0ce09fea01a,KAG001268,22626,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1958-10-09,,282,282,1958,10,9,,,,,,,,,,,Asia;Japan;Miyazaki;Gokanosyo,ASIA,,,,JP,Miyazaki,,,Gokanosyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7263080,,,,,,Acer sieboldianum Miq.,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Sapindales|Aceraceae|Acer|sieboldianum,Plantae,Tracheophyta,Magnoliopsida,Sapindales,,Sapindaceae,,,,Acer,Acer,,,sieboldianum,,,SPECIES,,コハウチワカエデ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:51.861Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,false,false,7263080,7263080,6,7707728,220,933,6657,3189834,,7263080,Acer sieboldianum,Acer sieboldianum Miq.,Acer sieboldianum,,EML,2024-02-16T04:26:51.861Z,2024-02-16T04:25:24.047Z,false,,null,false,ASIA,ASIA,,,,,,,,,LC
6,4522299137,,,en,CC_BY_4_0,2023-11-13T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,a162fd9d-713d-4090-895c-30a791a04758,KAG023833,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2020-05-21,,142,142,2020,5,21,,,,,,,,,,,Asia;Kyushu;Japan;Kagoshima;Ichikikushikino-shi;around Hashima Mt. Benzaiten,ASIA,,,Kyushu,JP,Kagoshima,Ichikikushikino-shi,,around Hashima Mt. Benzaiten,いちき串木野市羽島弁財天山周辺,,,,,,,,31.7714,130.226196,10.0,,,,,,,,,,,,recorded by GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3074908,,,,,,Vernicia cordata (Thunb.) Airy Shaw,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Vernicia|cordata,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,,Euphorbiaceae,,,,Vernicia,Vernicia,,,cordata,,,SPECIES,,アブラギリ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:55.683Z,359.0,,,,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,3074908,3074908,6,7707728,220,1414,4691,3074905,,3074908,Vernicia cordata,Vernicia cordata (Thunb.) Airy Shaw,Vernicia cordata,,EML,2024-02-16T04:26:55.683Z,2024-02-16T04:25:24.047Z,false,,null,false,ASIA,ASIA,JPN,Japan,JPN.18_1,Kagoshima,JPN.18.10_1,Ichikikushikino,,,LC
7,4054302309,,,en,CC_BY_4_0,2022-09-21T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,d4e95180-03fe-4f8e-bf73-c63e04af55c0,KAG015139,5908,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1969-08-21,,233,233,1969,8,21,,,,,,,,,,,Asia;Taiwan,ASIA,,,,TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5595900,,,,,,Swertia randaiensis Hayata,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Gentianales|Gentianaceae|Swertia|randaiensis,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Swertia,Swertia,,,randaiensis,,,SPECIES,,,,SYNONYM,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:52.035Z,2640.0,140.0,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,false,false,5595465,5595900,6,7707728,220,412,2503,3170182,,5595900,Swertia macrosperma,Swertia macrosperma (C.B.Clarke) C.B.Clarke,Swertia randaiensis,,EML,2024-02-16T04:26:52.035Z,2024-02-16T04:25:24.047Z,true,,null,false,ASIA,ASIA,,,,,,,,,NE
8,3408895579,,,en,CC_BY_4_0,2022-02-04T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,4635dd54-6b6d-4baa-aee0-ae569c7bd136,KAG009346,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1929-07-01/1929-07-31,,182,212,1929,7,,,,,,,,,,,,Asia;Japan;Kagoshima;Kirishima-shi,ASIA,,,,JP,Kagoshima,Kirishima-shi,,,,,,,,,,,,,10000.0,,,,,,,,,,,,assumed from the label information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7687468,,,,,,Celastrus stephanotifolius (Makino) Makino,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Celastrales|Celastraceae|Celastrus|stephanotifolius,Plantae,Tracheophyta,Magnoliopsida,Celastrales,,Celastraceae,,,,Celastrus,Celastrus,,,stephanotifolius,,,SPECIES,,オオツルウメモドキ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:54.456Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,false,false,7687468,7687468,6,7707728,220,950,6715,3169168,,7687468,Celastrus stephanotifolius,Celastrus stephanotifolius (Makino) Makino,Celastrus stephanotifolius,,EML,2024-02-16T04:26:54.456Z,2024-02-16T04:25:24.047Z,false,,null,false,ASIA,ASIA,,,,,,,,,NE
9,4054289813,,,en,CC_BY_4_0,2022-09-21T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,ea09aea7-db11-4adf-9434-ab1ff8e8a9f0,KAG022434,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2019-07-09,,190,190,2019,7,9,,,,,,,,,,,Asia;Osumi Islands;Yakushima;Japan;Kagoshima;Kumage-gun Yakushima-cho,ASIA,,Osumi Islands,Yakushima,JP,Kagoshima,Kumage-gun Yakushima-cho,,,屋久島宮之浦,,,,,,,,30.412701,130.567307,10.0,,,,,,,,,,,,recorded by GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2705621,,,,,,Paspalum notatum Flüggé,,,,,,,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Paspalum|notatum,Plantae,Tracheophyta,Liliopsida,Poales,,Poaceae,,,,Paspalum,Paspalum,,,notatum,,,SPECIES,,アメリカスズメノヒエ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:51.702Z,10.0,,,,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,true,false,2705621,2705621,6,7707728,196,1369,3073,2705540,,2705621,Paspalum notatum,Paspalum notatum Flüggé,Paspalum notatum,,EML,2024-02-16T04:26:51.702Z,2024-02-16T04:25:24.047Z,false,,null,false,ASIA,ASIA,JPN,Japan,JPN.18_1,Kagoshima,JPN.18.43_1,Yakushima,,,NE
