Unnamed: 0,id,accessRights,bibliographicCitation,language,license_x,modified,publisher_x,references_x,rightsHolder_x,type_x,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,geodeticDatum,coreid,type_y,format,identifier,references_y,title,description,source,audience,created,creator,contributor,publisher_y,license_y,rightsHolder_y,is_valid_image,local_path
0,4054289580,,,en,CC_BY_4_0,2022-09-21T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,1105c94c-5e10-40e4-b0ea-6fba1c0c858d,KAG019870,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2018-09-18,,261.0,261.0,2018.0,9.0,18.0,,,,,,,,,,,Asia;Amami Islands;Ukejima Island;Japan;Kagoshima;Oshima-gun Setouchi-cho,ASIA,,Amami Islands,Ukejima Island,JP,Kagoshima,Oshima-gun Setouchi-cho,,,奄美群島請島ミョチョン岳,,,,,,,,28.029699,129.216003,10.0,,,,,,,,,,,,recorded by GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650930.0,,,,,,Nephrolepis cordifolia (L.) C.Presl,,,,,,,Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Nephrolepidaceae|Nephrolepis|cordifolia,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,,Nephrolepidaceae,,,,Nephrolepis,Nephrolepis,,,cordifolia,,,SPECIES,,タマシダ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:53.729Z,229.0,,,,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,True,False,2650930.0,2650930.0,6,7707728.0,7228684.0,392.0,4161438.0,2650926.0,,2650930.0,Nephrolepis cordifolia,Nephrolepis cordifolia (L.) C.Presl,Nephrolepis cordifolia,,EML,2024-02-16T04:26:53.729Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,JPN,Japan,JPN.18_1,Kagoshima,JPN.18.34_1,Setouchi,,,NE,WGS84,4054289580,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG019870/KAG019870.jpg,,,,,,,,,,,,True,data/images/0_KAG019870.jpg
1,4522302195,,,en,CC_BY_4_0,2023-11-13T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,8dc9f67c-1bea-46e4-a57c-8abf7d7e415e,KAG025385,43268,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1987-12-08,,342.0,342.0,1987.0,12.0,8.0,,,,,,,,,,,Asia;Kyushu;Japan;Kagoshima;Ibusuki-shi;Kaimon-cho,ASIA,,,Kyushu,JP,Kagoshima,Ibusuki-shi,,Kaimon-cho,指宿市開聞町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9627346.0,,,,,,Thelypteris acuminata (Houtt.) C.V.Morton,,,,,,,Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Thelypteridaceae|Christella|acuminata,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,,Thelypteridaceae,,,,Christella,Thelypteris,,,acuminata,,,SPECIES,,ホシダ,,SYNONYM,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:54.723Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,False,False,5667155.0,9627346.0,6,7707728.0,7228684.0,392.0,6618.0,7321094.0,,9627346.0,Christella acuminata,Christella acuminata (Houtt.) Holttum,Thelypteris acuminata,,EML,2024-02-16T04:26:54.723Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,,,,,,,,,NE,WGS84,4522302195,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG025385/KAG025385.jpg,,,,,,,,,,,,True,data/images/1_KAG025385.jpg
2,4054294400,,,en,CC_BY_4_0,2022-09-21T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,464bc4b5-b390-4bdd-8a57-8bd2cbfa449e,KAG018843,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1921-10-08,,281.0,281.0,1921.0,10.0,8.0,,,,,,,,,,,Asia;Honshu;Japan;Shimane;Masuda-shi Hikimi-cho;Hikimikami,ASIA,,,Honshu,JP,Shimane,Masuda-shi Hikimi-cho,,Hikimikami,匹見上村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5608957.0,,,,,,Isodon longitubus (Miq.) Kudô,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Isodon|longitubus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,,Lamiaceae,,,,Isodon,Isodon,,,longitubus,,,SPECIES,,アキチョウジ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:55.561Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,False,False,5608957.0,5608957.0,6,7707728.0,220.0,408.0,2497.0,3233634.0,,5608957.0,Isodon longitubus,Isodon longitubus (Miq.) Kudô,Isodon longitubus,,EML,2024-02-16T04:26:55.561Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,,,,,,,,,NE,WGS84,4054294400,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG018843/KAG018843.jpg,,,,,,,,,,,,True,data/images/2_KAG018843.jpg
3,4522297253,,,en,CC_BY_4_0,2023-11-13T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,c04e2ad5-72a2-439e-a516-d01257ff9ad8,KAG029813,8107,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1970-07-07,,188.0,188.0,1970.0,7.0,7.0,,,,,,,,,,,Asia;Kyushu;Japan;Kagoshima;Soo-shi;Sueyoshi-cho Sakamoto,ASIA,,,Kyushu,JP,Kagoshima,Soo-shi,,Sueyoshi-cho Sakamoto,曽於市末吉町坂本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10565475.0,,,,,,Wisteria japonica Siebold & Zucc.,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Wisteriopsis|japonica,Plantae,Tracheophyta,Magnoliopsida,Fabales,,Fabaceae,,,,Wisteriopsis,Wisteria,,,japonica,,,SPECIES,,ナツフジ,,SYNONYM,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:51.415Z,250.0,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,False,False,2961368.0,10565475.0,6,7707728.0,220.0,1370.0,5386.0,9925760.0,,10565475.0,Wisteriopsis japonica,Wisteriopsis japonica (Siebold & Zucc.) J.Compton & Schrire,Wisteria japonica,,EML,2024-02-16T04:26:51.415Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,,,,,,,,,NE,WGS84,4522297253,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG029813/KAG029813.jpg,,,,,,,,,,,,True,data/images/3_KAG029813.jpg
4,4054262728,,,en,CC_BY_4_0,2022-09-21T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,15729526-0221-49ac-b76b-bd82dac0bde4,KAG021011,4892,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1965-12-19/1965-12-24,,353.0,358.0,1965.0,12.0,,,,,,,,,,,,Asia;Amami Islands;Amami-oshima Island;Japan;Kagoshima;Oshima-gun Yamato-son/Oshima-gun Uken-son,ASIA,,Amami Islands,Amami-oshima Island,JP,Kagoshima,Oshima-gun Yamato-son/Oshima-gun Uken-son,,,奄美大島湯湾岳頂上付近,,,,,,,,28.291667,129.3125,5000.0,,,,,,,,,,,,assumed from the label information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9368033.0,,,,,,Smilax amamiana Z.S.Sun & P.Li,,,,,,,Plantae|Tracheophyta|Liliopsida|Liliales|Smilacaceae|Smilax|amamiana,Plantae,Tracheophyta,Liliopsida,Liliales,,Smilacaceae,,,,Smilax,Smilax,,,amamiana,,,SPECIES,,アマミヒメカカラ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:52.970Z,650.0,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,True,False,9368033.0,9368033.0,6,7707728.0,196.0,1172.0,7702.0,2740627.0,,9368033.0,Smilax amamiana,Smilax amamiana Z.S.Sun & P.Li,Smilax amamiana,,EML,2024-02-16T04:26:52.970Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,JPN,Japan,JPN.18_1,Kagoshima,JPN.18.41_1,Uken,,,NE,WGS84,4054262728,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG021011/KAG021011.jpg,,,,,,,,,,,,True,data/images/4_KAG021011.jpg
5,3408898230,,,en,CC_BY_4_0,2022-02-04T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,15808767-f5f5-4ade-a221-7ed6b500ee1a,KAG001982,23590,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1959-04-01/1959-04-03,,91.0,93.0,1959.0,4.0,,,,,,,,,,,,Asia;Kikai Island;Japan;Kagoshima;Oshima-gun Kikaicho,ASIA,,,Kikai Island,JP,Kagoshima,Oshima-gun Kikaicho,,,,,,,,,,,,,10000.0,,,,,,,,,,,,assumed from the label information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3085175.0,,,,,,Achyranthes bidentata var. hachijoensis (Honda) H.Hara,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Achyranthes|bidentata|hachijoensis,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,,Amaranthaceae,,,,Achyranthes,Achyranthes,,,bidentata,hachijoensis,,VARIETY,,ハチジョウイノコヅチ,,SYNONYM,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:50.968Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,False,False,8335410.0,3085175.0,6,7707728.0,220.0,422.0,3064.0,3085166.0,,3085175.0,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes bidentata hachijoensis,,EML,2024-02-16T04:26:50.968Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,,,,,,,,,,WGS84,3408898230,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG001982/KAG001982.jpg,,,,,,,,,,,,True,data/images/5_KAG001982.jpg
6,4054284940,,,en,CC_BY_4_0,2022-09-21T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,a10765c2-3c94-47da-afbb-f553f70a1433,KAG021913,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1980-07-11,,193.0,193.0,1980.0,7.0,11.0,,,,,,,,,,,Asia;Yaeyama Islands;Ishigaki Island;Japan;Okinawa;Ishigaki-shi;Mt. Omoto,ASIA,,Yaeyama Islands,Ishigaki Island,JP,Okinawa,Ishigaki-shi,,Mt. Omoto,石垣島於茂登岳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3076491.0,,,,,,Antidesma japonicum Siebold & Zucc.,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Antidesma|japonicum,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,,Phyllanthaceae,,,,Antidesma,Antidesma,,,japonicum,,,SPECIES,,ヤマヒハツ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:51.599Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,False,False,3076491.0,3076491.0,6,7707728.0,220.0,1414.0,8807.0,2874170.0,,3076491.0,Antidesma japonicum,Antidesma japonicum Siebold & Zucc.,Antidesma japonicum,,EML,2024-02-16T04:26:51.599Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,,,,,,,,,LC,WGS84,4054284940,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG021913/KAG021913.jpg,,,,,,,,,,,,True,data/images/6_KAG021913.jpg
7,4522301479,,,en,CC_BY_4_0,2023-11-13T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,f925e7d9-cfba-400b-a4fc-df69339b256f,KAG028746,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1932-07-20,,202.0,202.0,1932.0,7.0,20.0,,,,,,,,,,,Asia;Osumi Islands;Yakushima Island;Japan;Kagoshima;Kumage-gun Yakushima-cho,ASIA,,Osumi Islands,Yakushima Island,JP,Kagoshima,Kumage-gun Yakushima-cho,,,熊毛郡屋久島町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360270.0,,,,,,Maackia tashiroi Makino,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Maackia|tashiroi,Plantae,Tracheophyta,Magnoliopsida,Fabales,,Fabaceae,,,,Maackia,Maackia,,,tashiroi,,,SPECIES,,シマエンジュ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:52.468Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,False,False,5360270.0,5360270.0,6,7707728.0,220.0,1370.0,5386.0,2977725.0,,5360270.0,Maackia tashiroi,Maackia tashiroi Makino,Maackia tashiroi,,EML,2024-02-16T04:26:52.468Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,,,,,,,,,NE,WGS84,4522301479,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG028746/KAG028746.jpg,,,,,,,,,,,,True,data/images/7_KAG028746.jpg
8,3408898188,,,en,CC_BY_4_0,2022-02-04T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,811a82a3-9415-4826-8f6c-6e6961716813,KAG004436,42329,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1987-06-13,,164.0,164.0,1987.0,6.0,13.0,,,,,,,,,,,Asia;Osumi Islands;Yakushima Island;Japan;Kagoshima;Yakushima-cho;Mt. Kuromi,ASIA,,Osumi Islands,Yakushima Island,JP,Kagoshima,Yakushima-cho,,Mt. Kuromi,,,,,,,,,,,500.0,,,,,,,,,,,,assumed from the label information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2867304.0,,,,,,Arisaema maximowiczii subsp. tashiroi (Kitam.) Seriz.,,,,,,,Plantae|Tracheophyta|Liliopsida|Alismatales|Araceae|Arisaema|maximowiczii|tashiroi,Plantae,Tracheophyta,Liliopsida,Alismatales,,Araceae,,,,Arisaema,Arisaema,,,maximowiczii,tashiroi,,SUBSPECIES,,ツクシヒトツバテンナンショウ,,SYNONYM,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:49.355Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,False,False,2867303.0,2867304.0,6,7707728.0,196.0,551.0,6979.0,2866809.0,,2867304.0,Arisaema tashiroi,Arisaema tashiroi Kitam.,Arisaema maximowiczii tashiroi,,EML,2024-02-16T04:26:49.355Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,,,,,,,,,,WGS84,3408898188,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG004436/KAG004436.jpg,,,,,,,,,,,,True,data/images/8_KAG004436.jpg
9,4522298318,,,en,CC_BY_4_0,2023-11-13T00:00:00Z,"National Museum of Nature and Science, Japan",https://www.museum.kagoshima-u.ac.jp/hyouhonsitu.html,,text,,,,KAG,KAG,,,PRESERVED_SPECIMEN,,,,1083362c-bc91-4cbf-8d3d-d0c1cdaf53d2,KAG024969,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2015-04-04,,94.0,94.0,2015.0,4.0,4.0,,,,,,,,,,,Asia;Osumi Islands;Yakushima Island;Japan;Kagoshima;Kumage-gun Yakushima-cho;Anbou Haruta beach,ASIA,,Osumi Islands,Yakushima Island,JP,Kagoshima,Kumage-gun Yakushima-cho,,Anbou Haruta beach,熊毛郡屋久島町安房春田浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088595.0,,,,,,Hemistepta lyrata (Bunge) Bunge,,,,,,,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Saussurea|lyrata,Plantae,Tracheophyta,Magnoliopsida,Asterales,,Asteraceae,,,,Saussurea,Hemistepta,,,lyrata,,,SPECIES,,キツネアザミ,,ACCEPTED,,,1cbed1d0-f9ac-4b9e-bf3f-a26272bca39e,JP,2024-02-16T04:26:55.483Z,,,,,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,StillImage,False,False,3088595.0,3088595.0,6,7707728.0,220.0,414.0,3065.0,2752681.0,,3088595.0,Hemistepta lyrata,Hemistepta lyrata (Bunge) Bunge,Hemistepta lyrata,,EML,2024-02-16T04:26:55.483Z,2024-02-16T04:25:24.047Z,False,,,False,ASIA,ASIA,,,,,,,,,NE,WGS84,4522298318,StillImage,image/jpeg,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG024969/KAG024969.jpg,,,,,,,,,,,,True,data/images/9_KAG024969.jpg
